Nom de la gare;Code UIC;Code postal;Segmentation;voyageurs 2016;volume total d'usagers 2016 (voyageurs+ non voyageurs);voyageurs 2015;volume total d'usagers 2015 (voyageurs+ non voyageurs);voyageurs 2014;volume total d'usagers 2014 (voyageurs+ non voyageurs)
Orangis Bois de l'Epine;681346;91130;b;2284200;;2284200;;2489400;
Orly Ville;546200;94310;b;1576800;;1576800;;1576800;
Orry la Ville Coye;276279;60560;b;1159587;;1119240;;1076881;
Ors;295667;59360;c;103;;105;;128;
Ostricourt;345249;59162;b;157291;;159952;;148564;
Oulchy-Brény;116699;2210;c;1051;;2784;;2636;
Pantin;113209;93500;b;7813800;;8121600;;8121600;
Paray le Monial;694687;71600;b;111915;;128040;;129419;
Paris Bercy;686667;75012;;3391881;3515717;;;;
Paris Gare de Lyon;686006;75012;a;100422655;113964299;101249573;133223122;96829784;127407610
Paris Nord;271007;75010;a;206691760;238825100;214220327;246230261;207468294;238469303
Parsac Gouzon;597724;23140;c;374;;;;98;
Pas des Lanciers;753285;13730;b;103566;;123670;;144609;
Pauillac;581256;33250;c;49166;;56956;;58291;
Peille;756791;6440;c;5313;;5505;;3084;
Péreire Levallois;381012;75017;b;5248800;;5248800;;5248800;
Pérols sur Vézère;592170;19170;c;20;;38;;306;
Pertuis;751362;84120;c;23649;;26109;;23674;
Pessac;581751;33600;b;689986;;735535;;745686;
Pibrac;611830;31820;b;134521;;154499;;158399;
Pierre Benite;722231;69310;c;24840;;30894;;37225;
Pierre Buffière;592253;87260;c;17933;;15072;;8182;
Pierrelatte;764308;26700;b;246852;;271152;;263220;
Pihen;316679;62340;c;1909;;2307;;2462;
Plaisir les Clayes;393629;78370;b;1117800;;1117800;;1117800;
Plaisir-Grignon;393421;78370;b;2861320;;2943000;;2943000;
Pommevic;618058;82400;c;354;;476;;272;
Pompey;141788;54340;c;55496;;62916;;66761;
Pont à Vendin;345264;62880;c;70857;;69611;;68005;
Pont d'Ardres;281410;62610;c;2602;;2671;;2266;
Pont de l'Alma;393041;75007;b;4163400;;4163400;;4163400;
Pont du Casse;586404;47480;c;143;;136;;;
Pont du Château;734087;63430;c;47514;;49532;;51352;
Pont Melvez;473520;22390;c;3218;;3339;;2871;
Pont sur Yonne;683136;89140;b;102518;;117270;;123941;
Pontarlier;715003;25300;b;165986;;170037;;177469;
Ponthierry-Pringy;682526;77310;b;486000;;486000;;351000;
Pontoise;276139;95300;b;6154149;;5805000;;5805000;
Pontorson-Mont Saint-Michel;478263;50170;c;18690;;20910;;15352;
Pontrieux;473843;22260;c;3311;;5537;;7670;
Port la Nouvelle;781062;11210;c;73433;;71290;;70641;
Port Saint-Père St-Mars;481218;44710;c;16036;;13613;;12644;
Port Vendres;784264;66660;c;21468;;23416;;27099;
Port Villez;415679;78270;;1257428;;1051632;;;
Poussay;144204;;c;199;;164;;185;
Précy sur Oise;276410;60460;c;30540;;34245;;36066;
Preignac;582767;33210;c;5407;;7257;;9168;
Prin Deyrançon;485268;79210;c;7243;;7270;;5902;
Raismes;343319;59590;c;38324;;36298;;35442;
Ranguin;757732;6400;c;35322;;35739;;32682;
Achiet;342048;62121;c;91271;;90220;;92028;
Aéroport Charles de Gaulle 1;271460;93290;b;4741664;;4768200;;4768200;
Aéroport Charles de Gaulle 2 TGV;271494;95716;;10748798;;10920487;11030795;10771660;10880464
Agde;781278;34300;a;632685;;637131;;637457;
Aigrefeuille;485193;;c;266;;;;;
Aiguebelette le Lac;741421;73610;c;4246;;3872;;4196;
Aillevillers;185629;70320;c;5605;;6708;;6280;
Aixe sur Vienne;592667;87700;c;7284;;7313;;10306;
Albens;746115;73410;c;85445;;88719;;88256;
Alès;775288;30100;b;426772;;410721;;398792;
Allassac;594234;19240;c;14406;;16752;;19231;
Allée de la Tour-Rendez-Vous;113878;93320;b;626400;;626400;;664200;
Alleyras;731885;43580;c;323;;253;;309;
Ambilly;742031;74100;c;;;268;;1339;
Amboise;574343;37400;b;489799;;504017;;483002;
Angers Saint Laud;484006;49100;a;5318581;8236797;5284928;8130659;5314885;8176747
Anstaing;287219;59152;c;5;;;;;
Apach Moselle;191643;57480;c;851;;941;;1326;
Arbois;718155;39600;c;42688;;49269;;47134;
Arches;144410;88380;c;49038;;56901;;61483;
Arcy sur Cure;683680;89270;c;1873;;2058;;2658;
Arenc Euroméditerranée;580340;;c;16402;;21735;;14619;
Arnèke;281121;59285;c;121843;;116677;;116994;
Aubergenville-Elisabethville;386730;78410;b;1600593;;1279800;;1279059;
Aubiat;734111;63260;c;5601;;4472;;4869;
Aubigny au Bac;345447;59265;c;47789;;51389;;51489;
Aubin;613224;12110;c;4780;;5444;;5367;
Aubrives;172122;8320;c;9166;;9962;;9534;
Aumont Aubrac;783266;48130;c;5109;;5688;;6501;
Auray;476200;56400;a;774212;;765825;;778680;
Aurec;726760;43110;c;63350;;69464;;47102;
Auxonne;713347;21130;b;264775;;263065;;254629;
Ax les Thermes;611533;9110;c;73058;;83240;;87726;
Baccarat;141416;54120;b;131161;;144083;;150952;
Bailleau le pin;394411;28120;c;76251;;76535;;75550;
Bannalec;474189;29380;c;21506;;23631;;21593;
Bantzenheim;182840;68490;c;8057;;10026;;8239;
Barentin Embranchement;411264;76360;b;247017;;281250;;306895;
Barjac;783563;48000;c;53;;;;;
Barsac;582759;33720;c;21310;;23406;;21790;
Bartenheim;182113;68870;c;138963;;136856;;130792;
Bayon;141218;54290;b;140700;;147484;;148497;
Bazancourt;171462;51110;b;181345;;175432;;170592;
Béard;696468;58160;c;749;;2268;;2768;
Beauvoir sur Niort;485342;79360;c;22822;;22608;;21048;
Belfort Montbéliard TGV;300822;90400;a;731291;1002598;736456;1008844;644345;882665
Bellac;592485;87300;c;32676;;29760;;30776;
Bellenaves;641068;3330;c;7864;;6391;;5927;
Benestroff;192302;57670;c;7209;;6936;;6539;
Bergerac;584268;24100;b;264775;;279900;;283492;
Berthelming;215335;57930;c;20447;;20044;;19411;
Bertry;345553;59980;c;6017;;6438;;7700;
Besançon-Mouillère;718015;25000;b;85796;;99928;;104447;
Besançon-Viotte;718007;25000;a;2019431;2221206;2118245;2327741;2108286;2316798
Bessay;696336;3340;c;10628;;8775;;8713;
Biffontaine;144188;88430;c;2790;;2888;;3597;
Bischwiller;213611;67240;b;532041;;560855;;533331;
Bitche;193821;57230;c;15462;;19145;;27488;
Blois;574004;41000;a;1466599;;1510967;;1530279;
Boisseaux;543082;45480;c;5480;;5426;;4168;
Boissise le Roi;682518;77310;b;124200;;124200;;113400;
Bollène la Croisière;764357;84500;b;82073;;92215;;92751;
Bondy;113407;93140;b;11728800;;11269800;;11390171;
Bords;491019;17430;c;7300;;10017;;9623;
Bouffémont-Moisselles;276485;95570;b;835199;;842400;;842400;
Boulainvilliers;543181;75016;b;4017600;;4017600;;4017600;
Bouray;545178;91850;b;1366200;;1366200;;1366200;
Bourg Bruche;214775;67420;c;8973;;9247;;9641;
Bourg Madame;784876;66760;c;5121;;6752;;6239;
Bourgtheroulde Thuit Hébert;415323;27520;c;2176;;2492;;3761;
Boussens;611095;31360;b;170377;;182712;;173829;
Boussy Saint-Antoine;682138;91800;b;3396600;;3396600;;2964600;
Bouvines;287235;59830;c;5;;;;;
Bouzonville;193177;57320;c;27300;;29839;;32331;
Brélidy-Plouec;473827;22140;c;2181;;2559;;1930;
Brest;474007;29200;a;1634475;;1618007;;1653953;
Brétigny;545194;91220;b;5737133;;5788800;;5761782;
Breuil-Romain;171322;51140;c;17649;;23624;;29185;
Bréval;381624;78980;b;633406;;590817;;573823;
Brion-Laizy;694596;71190;c;3319;;5440;;5241;
Bruges (Gironde);581736;33520;c;19791;;26547;;30466;
Brunstatt;181032;68350;;;;;;;
Bruyeres;144154;88600;c;58767;;59300;;61333;
Bruz;471037;35170;c;106528;;104545;;114969;
Bueil;387092;27730;b;129919;;128211;;130061;
Bussière Galant;592741;87230;c;20986;;19108;;17343;
Calais-Fréthun;281071;62185;a;637324;;669769;;640999;
Cannes La Bocca;757617;6150;b;154375;;155030;;181097;
Cap d'Ail;756395;6320;c;67511;;63526;;63914;
Caussade (Tarn-et-Garonne);613356;82300;c;90679;;96029;;90109;
Cavignac;491217;33620;c;33458;;31457;;32885;
Cazères sur Garonne;611079;31220;b;156554;;165169;;161231;
Ceilhe -Roquèredonde;781542;34260;c;5951;;6655;;7174;
Cesson Sévigné;334490;35510;b;121202;;130150;;130667;
Chabons;747212;38690;c;44060;;48885;;52569;
Chamarande;545152;91730;b;237600;;237600;;237600;
Chambly;276725;60230;b;680637;;635705;;606574;
Chamborigaud;775221;30530;c;5482;;5272;;4329;
Chamonix-Aiguille du Midi;462085;74400;c;1984;;2433;;1829;
Champagne Ardenne TGV;171926;51430;a;831609;;1034315;;778978;
Abbeville;317362;80100;b;720183;;750448;;781918;
Acheux-Franleu;316745;80560;c;273;;775;;719;
Aigueperse;734129;63260;c;74968;;75701;;69892;
Aigues Mortes;775858;30220;c;2983;;3202;;2685;
Ailly sur Somme;313098;80470;b;119849;;130810;;126650;
Aiserey;713636;21110;c;25065;;27162;;28070;
Aix les Bains le Revard;741132;73100;a;1283506;;1295561;;1229939;
Alençon;444711;61000;b;371714;;414836;;434721;
Allenc;783654;48190;c;219;;;;;
Amiens;313874;80017;a;5232769;8050415;5362757;8250396;5446867;8379796
Angers Maître Ecole;484048;49000;c;12456;;17008;;18741;
Angoulême;583005;16000;a;1646983;1936881;1606006;1889419;1666724;1960852
Angoulins sur Mer;485102;17690;c;16225;;15300;;12654;
Anizy-Pinon;296566;2320;c;78801;;85488;;89723;
Annappes;286856;59650;c;98;;137;;844;
Annecy;746008;74000;a;2227568;;2262889;;2291009;
Anthéor Cap Roux;757567;83530;c;3859;;4087;;4275;
Arcachon;582668;33120;b;780092;;794710;;776930;
Arc-et-Senans;718841;25610;c;46134;;43280;;41397;
Argentan;444539;61200;b;277154;;293079;;314465;
Argenteuil;381848;95100;b;14015006;;13300200;;13268608;
Argenton sur Creuse;597120;36200;b;121240;;131897;;135960;
Arrou;394486;28290;c;6153;;5503;;6953;
Artix;672212;64170;c;35702;;39364;;38099;
Aubagne;751750;13400;b;682456;;614626;;575632;
Aubiet;611764;32270;c;8033;;8487;;9151;
Aubigné-Racan;396572;72800;c;17436;;17655;;16890;
Aubigny en Artois;342246;62690;c;59595;;62130;;58536;
Auboue;191684;54580;c;3560;;4582;;5912;
Auchy lès Hesdin;317230;62770;c;8119;;9529;;9769;
Audrieu;444059;14250;c;16499;;16889;;15556;
Augy Vaux;683607;89290;c;;;1240;;1614;
Aulnat Aéroport;562421;63510;c;11126;;14360;;15060;
Aumale;313767;76390;c;1284;;1496;;1789;
Auneau;545657;28700;c;31721;;31533;;33038;
Autun;694570;71400;c;56522;;69627;;72025;
Avallon;683789;89200;c;33356;;36620;;39834;
"Avenue du Président Kennedy
 (Maison de Radio France)";543207;75016;b;1798200;;1798200;;1798200;
Avord;576439;18520;c;23008;;22779;;21096;
Avoudrey;718551;25690;c;16698;;19843;;20525;
Avrechy;313296;60130;c;6126;;6885;;8112;
Aytre Plage;437806;17440;c;12954;;13430;;10646;
Azerailles;141408;54122;c;12585;;15977;;15914;
Bagnac;613604;46270;c;3994;;4080;;3743;
Bagnols-Chadenet;783647;48190;c;130;;125;;167;
Bainville;141531;54550;c;2992;;3024;;7597;
Ballan;571604;37510;c;30239;;36904;;37033;
Balsièges-Bourg;111864;48000;c;27;;;;;
Bar le Duc;175042;55000;b;396500;;401532;;422065;
Baraqueville-Carcenac-Peyrales;615757;12160;c;5383;;5069;;3828;
Barenton Bugny;297291;2000;c;9477;;9324;;9539;
Bassens;581850;33530;c;13588;;15813;;16856;
Baume les Dames;718460;25110;b;163053;;175938;;178188;
Bayard;175133;52170;c;1539;;1930;;1886;
Bayonne;673004;64100;a;712900;802063;820806;922254;859476;965703
Baziège;611723;31450;c;66262;;72973;;70359;
Beauvais;313510;60000;b;1343932;;1333576;;1296646;
Bécon les Bruyères;382002;92400;b;11319719;;11793600;;11792646;
Bédarrides;765198;84370;c;13452;;12183;;12357;
Bègles;581801;33130;c;19322;;23281;;24206;
Beillant;491076;17800;c;193;;313;;255;
Belle-Isle-Bégard;473165;22810;c;2127;;3424;;2695;
Bellevue;393116;92360;b;1258200;;1258200;;1258200;
Belvezet;783670;48170;c;106;;44;;64;
Belz Ploêmel;476408;56550;c;981;;1089;;1084;
Bena Fanès;784892;66760;c;17;;;;;
Bening;193250;57800;b;117072;;125714;;125446;
Berlaimont;295808;59145;c;15946;;19254;;26199;
Bernay;444299;27300;b;450861;;468866;;472015;
Béthune;342006;62400;b;1817824;;1796574;;1785380;
Biarritz;673400;64200;a;337741;825934;388748;;420331;
Bibliothèque François Mitterrand;328328;75013;b;25860600;;25860600;;25860600;
Biganos-Facture;582478;33380;b;770627;;777831;;785843;
Bigny;576306;18190;c;1394;;1858;;1684;
Bischoffsheim;214296;67830;b;120690;;125633;;128913;
Blaisy-Bas;713073;21540;c;41309;;43939;;42509;
Blanzy;694612;71450;c;6032;;7038;;7842;
Bois d'Oingt Legny;721787;69620;c;44909;;49843;;52312;
Boisleux;342071;62175;c;745;;1409;;1990;
Bollwiller;182709;68540;b;249699;;253875;;239926;
Bonnemain;478065;35270;c;8090;;6714;;5369;
Bons en Chablais;745596;74890;b;101779;;98450;;105406;
Boran sur Oise;276444;60820;c;10865;;14316;;15527;
Bornel-Belle Eglise;276717;60540;b;289590;;281608;;271488;
Boucoiran;775346;30190;c;1650;;1106;;745;
Boulogne;317586;62200;b;879837;;903093;;925017;
Boulouris sur Mer;757534;83700;c;21339;;23802;;25276;
Bourges;576207;18000;a;851513;;930856;;959613;
Boussay la Bruffière;481176;85530;c;14250;;18231;;15082;
Brax Léguevin;611822;31490;b;233019;;267183;;262207;
Briançon;763607;5100;b;124528;;130321;;128015;
Brionne;415364;27800;c;8959;;8884;;9250;
Buno Gironville;681510;91720;c;64800;;64800;;64800;
Bussac;491191;17100;c;2531;;2860;;1487;
Byans;718122;25320;c;10929;;11798;;12889;
Cahors;613000;46000;b;321764;;335602;;344663;
Callac;473546;22160;c;20597;;22188;;24568;
Cambrai;345520;59400;b;650105;;658483;;655451;
Campagne sur Aude;615229;11260;c;187;;;;15;
Cap Martin Roquebrune;756460;6190;c;57575;;46364;;38826;
Gilly sur Loire;694869;71160;c;4006;;4754;;4470;
Gimont-Cahuzac;611772;32200;c;49429;;55889;;58615;
Gournay Ferrières;381293;76220;c;11633;;13486;;19096;
Graffenwald;181131;68700;c;68462;;78041;;80007;
Grand Combe la Pise;775254;30110;c;23654;;20067;;24786;
Grandvillars;184432;;c;;;;;;
Grisolles;611673;82170;c;91280;;90715;;93225;
Groslay;276360;95410;b;1377000;;1377000;;1376124;
Guéthary;673459;64210;c;17804;;17254;;17187;
Guichen Bourg des Comptes;471151;35580;b;128703;;129289;;138089;
Guimiliau;474296;29400;c;4897;;6051;;5929;
Gundershoffen;213223;67110;c;75308;;75726;;73187;
Harfleur;413302;76700;c;5533;;6809;;6583;
Harfleur Halte;413708;76700;c;5299;;4962;;4801;
Haubourdin;286096;59320;c;61377;;62371;;66642;
Heiligenberg-Mollkirch;214627;67190;c;27304;;26950;;27056;
Hendaye;677005;64700;a;300282;504095;328688;;366633;
Herrlisheim-près-Colmar;182329;68420;c;50650;;47163;;41784;
Hoelschloch;213413;67250;c;20786;;21209;;20311;
Hoenheim-Tram;338517;67800;c;74506;;77334;;82373;
Houdan;393462;78550;b;1004288;;1004400;;1004400;
Igny;393561;91430;b;442800;;442800;;442800;
Imphy;696450;58160;c;34521;;39249;;44559;
Ingrandes sur Vienne;575134;86220;c;3500;;2911;;3653;
Is sur Tille;713859;21120;b;164726;;172735;;184099;
Isbergues;342279;62330;b;175655;;194255;;203103;
Iwuy;345397;59141;c;6634;;7691;;7933;
Joeuf;191700;54240;c;34554;;35472;;38639;
Jonquières et Saint-Vincent;775049;30300;;;;;;;
Jouy en Josas;393512;78350;b;774643;;777600;;777600;
Juan les Pins;757666;6160;b;533354;;585236;;580531;
Juvisy;545244;91260;b;24028842;;33426629;;32383800;
Kilstett;212324;67840;c;86088;;96697;;94308;
L' Etang la Ville;382473;78620;b;496800;;448200;;448200;
La Bachellerie;595595;24210;c;835;;919;;1527;
La Bastide Saint-Laurent-les-Bains;775171;48250;c;31672;;34695;;37772;
La Borne Blanche;276287;60560;c;22690;;26871;;20561;
La Brohinière;471094;35360;c;16229;;17976;;19651;
La Celle Saint-Cloud;382432;78170;b;1944000;;1890000;;1890000;
La Chapelle Aulnay;590364;44240;c;12679;;12456;;9385;
La Chapelle Saint-Mesmin;543371;45380;c;7592;;6805;;6746;
La Douzillère;9696;37300;c;16323;;18038;;21673;
La Ferté Alais;681452;91590;b;475200;;475200;;550800;
La Ferté Milon;116673;2460;c;33612;;44064;;49566;
La Fouillouse;726232;42480;c;4769;;6786;;7404;
La Garde;755306;83130;c;61985;;48951;;60562;
La Gorp;584755;33380;c;36925;;29940;;30873;
La Hisse;478156;22100;c;1502;;1519;;1426;
La Hutte Coulombiers;396093;72130;c;12956;;16378;;15136;
La Loupe;394254;28240;b;340410;;357096;;355492;
La Plaine Stade de France;164798;93200;b;12803841;;12814200;;12813857;
La Possonnière;484337;49170;c;92678;;91110;;93264;
La Réole;582866;33190;b;189730;;192713;;184579;
La Roche sur Yon;486019;85000;a;851971;;881434;;881228;
La Tour du Pin;723478;38110;b;827746;;810212;;800440;
Labège Village;612028;31670;c;13497;;17301;;17206;
Labenne;673293;40530;c;22388;;27141;;26941;
Laboissières le Déluge;313676;60570;c;19469;;17375;;13459;
Lafarge;592733;87260;c;6288;;7990;;7389;
Laigneville;276204;60290;b;152848;;143706;;137537;
Lamanon;753731;13113;c;21052;;18027;;17265;
Landry;741777;73210;c;31833;;29424;;31766;
Lannemezan;671123;65300;b;84105;;96475;;97234;
Latour de Carol Enveitg;611483;66760;c;44196;;46778;;45953;
Lavilledieu;611459;82290;c;9106;;11068;;9660;
Le Breuil sur Couze;734228;63340;c;19627;;20277;;19364;
Le Bruel;783548;48056;c;206;;;;;
Le Cendre Orcet;734160;63670;b;135442;;143739;;150444;
Le Croisic;481788;44490;b;97789;;90649;;101478;
Le Grand Lemps;747220;38690;c;76098;;91834;;96754;
Le Havre-Graville;413203;76600;c;961;;1123;;1898;
Le Mans;396002;72000;a;4928529;7603023;4914325;7560500;5040540;7754677
Le Molay Littry;444083;14330;c;23928;;24533;;26699;
Le Pénity;473553;22850;c;2600;;2633;;2665;
Le Pouliguen;481762;44510;c;62709;;55764;;64653;
Le Thor;765453;84250;c;28810;;30823;;33660;
Le Vauriat;641399;63230;c;654;;821;;1082;
Les Abrets Fitilieu;741496;38490;c;3877;;4155;;5869;
Les Cabrils;781559;34233;c;10;;14;;18;
Les Essarts le Roi;393280;78690;b;912600;;912600;;912600;
Les Flacheres;721704;69260;c;4527;;1756;;3113;
Les Fontinettes;317305;62100;c;25225;;22784;;19137;
Les Mais;473587;22160;c;296;;227;;847;
Les Mureaux;386680;78130;b;3737902;;3331800;;3316085;
Les Pavillons sous Bois;113852;93320;b;1474200;;1474200;;1285200;
Les Perrières;691600;58330;c;1310;;1715;;2388;
Les Saules;546226;94310;b;1139400;;1139400;;1139400;
Les Vallées;386300;92250;b;3596400;;3596400;;3596400;
Leucate la-Franqui;781088;11370;c;52446;;56273;;59621;
Lézignan Corbières;615112;11200;c;89053;;87284;;92327;
L'Hermitage Mordelles;471060;35590;c;41151;;41038;;42958;
Libercourt;345256;62820;b;757083;;782433;;784826;
Limoges Bénédictins;592006;87000;a;1610599;;1665153;;1717566;
L'Isle d'Abeau;761239;38080;b;194189;;229174;;243321;
Lisle sur Tarn;615310;81310;c;75862;;73401;;59113;
Longjumeau;393611;91160;b;615600;;615600;;615600;
Longueville;116137;77650;b;875026;;841617;;787447;
Longuyon;194274;54260;c;51927;;70339;;76699;
Longwy;194001;54400;b;516174;;500458;;452071;
Loos lez Lille;286112;59120;c;26505;;25865;;29468;
Saint-Médard de Guizières;584607;33230;c;26418;;32626;;26619;
Saint-Michel sur Orge;545202;91240;b;2802600;;2802600;;2802600;
Saint-Ouen l'Aumône Liesse;337980;95310;b;1274400;;1274400;;1274400;
Saint-Pé de Bigorre;671362;65270;c;1188;;1884;;1782;
Saint-Pierre sur Dives;444216;14170;c;33165;;36245;;39592;
Saint-Priest;723353;69800;b;111674;;123326;;138865;
Saint-Raphaël Valescure;757526;83700;a;1048552;;1084720;;1162145;
Saint-Rémy en l'Eau;313288;60130;c;87;;390;;1595;
Saint-Saturnin d'Avignon;765438;84450;c;11039;;13036;;14308;
Saint-Savinien sur Charente;491035;17350;c;15405;;15272;;14570;
Saint-Sébastien Frêne Rond;354597;44230;c;18861;;15006;;11713;
Saint-Sulpice Izon;584722;33450;c;46285;;48322;;52061;
Saint-Sulpice Laurière;592345;87370;c;44294;;48500;;48651;
Saint-Victurnien;592683;87420;c;3581;;3941;;3963;
Sallanches Combloux Megève;746438;74700;b;291477;;298325;;281485;
Santeuil le Perchay;381186;95640;c;37800;;37800;;37800;
Sarlat;595827;24200;c;44684;;48280;;48830;
Sarrance;1;64490;c;;;;;;
Saumur;487603;49400;b;664278;;669636;;680992;
Savonnières;571844;37510;c;3308;;2840;;3194;
Seclin;286518;59113;b;253831;;246464;;230323;
Sedan;172254;8200;b;297609;;319196;;325732;
Sélestat;214056;67600;b;2057255;;2081179;;2049330;
Selles sur Cher;576868;41130;c;22509;;23620;;23714;
Septèmes;751800;13240;c;17074;;18219;;23841;
Sète;773200;34200;a;1059750;;1034027;;1001034;
Sèvres Rive Gauche;393124;92310;b;2817844;;2829600;;2827550;
Sèvres Ville d'Avray;382341;92310;b;2268212;;2257200;;2254854;
Sin-le-Noble;345405;59450;c;58892;;58897;;56273;
Sommery;411462;76440;c;3696;;3978;;4805;
Sotteville;411223;76300;c;16928;;16806;;17033;
Soultz sous Forets;213421;67250;b;173140;;177562;;179107;
Stade de France Saint-Denis;164780;93200;b;10340462;;10362600;;7531655;
Staffelfelden;182691;68850;c;63527;;67188;;65004;
Surgères;485227;17700;b;321242;;347026;;366551;
Sury le Comtal;726422;42450;c;16421;;20774;;19671;
Tagolsheim;181057;68720;c;3994;;2912;;2241;
Teillé;396051;72290;c;3384;;4360;;3052;
Tenay-Hauteville;743757;1970;c;28342;;31052;;29970;
Terrasson;594408;24120;c;25035;;26728;;25808;
Théoule sur Mer;757583;6590;c;13521;;14667;;13257;
Thézy Glimont;316125;80110;c;13730;;19075;;19762;
Thiennes;342287;59189;c;2206;;2095;;1315;
Thonon les Bains;745646;74200;b;468236;;475253;;493465;
Thouaré;481143;44470;c;24020;;28022;;25006;
Thouars;487009;79100;c;46380;;48006;;49355;
Thourotte;276741;60150;c;49644;;57789;;62334;
Thuès Carença;784751;66360;c;3026;;3127;;2195;
Torfou;486894;49660;c;10579;;7750;;7281;
Touët de l'Escarène;756817;6440;c;2185;;1676;;640;
Toul;141044;54200;b;216480;;219889;;225582;
Toury;543074;28310;b;98432;;106055;;110438;
Tracy-Sancerre;696161;58150;c;10803;;10707;;11524;
Trentels-Ladignac;586446;47140;c;208;;134;;94;
Trilport;116491;77470;b;1022960;;1188000;;810000;
Troyes;118000;10014;a;945961;1297129;975356;;1019834;
Tulle;594499;19000;b;152312;;170337;;174012;
Tullins-Fures;761759;38210;b;294005;;301317;;271353;
Vaas;396598;72500;c;9024;;8146;;6860;
Val d'Argenteuil;381798;95100;b;5259600;;4579200;;4576020;
Val de Vesle;171611;51360;c;13879;;13259;;11742;
Valence TGV Rhône-Alpes Sud;763029;26958;a;2553424;3774685;3290657;4839202;2501055;3678023
Valergues Lansargues;773432;34130;c;10674;;10405;;9491;
Vanves-Malakoff;391532;92170;b;1350000;;1350000;;1347452;
Varennes sur Allier;696351;3150;c;82808;;83496;;80970;
Varennes sur Fouzon;576231;36210;c;2090;;2006;;3668;
Vauboyen;393538;91570;b;189000;;189000;;189000;
Vaucresson;382267;92420;b;1620000;;1447200;;1447200;
Vauvert;775817;30600;c;1573;;1463;;1625;
Vayrac;594739;46110;c;24;;314;;210;
Vayres;584714;33870;c;18343;;18246;;15754;
Vendenheim;212118;67550;c;113843;;116067;;107423;
Vermenton;683664;89270;c;4028;;4511;;6416;
Vernet d'Ariège;611350;9700;c;15532;;13583;;12911;
"Versailles Rive Gauche
 - Château de Versailles";393157;78000;b;7655563;;7894800;;7887587;
Versigny;296608;2800;c;5843;;6521;;6016;
Vertaizon;734426;63910;b;125628;;129977;;132460;
Vertou;481408;44120;c;88871;;87786;;84218;
Viaduc sainte-Marie;746735;74310;c;996;;911;;698;
Viarmes;276568;95270;b;259200;;259200;;259200;
Vieilleville;597633;23210;c;3088;;2794;;1614;
Vielmur sur Agout;615492;81570;c;20941;;24493;;21463;
Vierzy;271783;2210;c;375;;1054;;1293;
Vieux Thann ZI;181289;68800;c;19125;;24540;;20970;
Villaines;272021;95570;c;54000;;54000;;54000;
Villedieu les Poêles;447698;50800;c;71402;;63578;;78124;
Villefranche sur Saône;721332;69400;b;2076804;;2073828;;2004940;
Villeneuve sur Allier;696310;3460;c;294;;;;169;
Villeperdue;575043;37260;c;39256;;40468;;37055;
Villereversure;743328;1250;c;5216;;5528;;5557;
Villers sur Mer;444398;14640;c;6701;;7146;;6412;
Vincey;144063;88450;c;22297;;27391;;25064;
Viry Noureuil;297051;2300;c;1007;;1008;;617;
Visecamp sous Jallès;645119;15150;c;;;;;;
Vitré;471508;35500;b;709749;;704393;;708975;
Vitry le François;174276;51300;b;211555;;228600;;236893;
Vittel;144279;88800;c;61581;;63156;;61819;
Vivonne;575290;86370;c;36843;;44206;;44306;
Voiron;747287;38500;b;1181699;;1231160;;1256966;
Vosves;682500;77190;c;32400;;32400;;21600;
Recquignies;295022;59245;c;6372;;7781;;8202;
Reignier;746511;74930;c;43458;;42530;;40427;
Reims Maison Blanche;171272;51300;c;42735;;39687;;41627;
Remiremont;144451;88200;b;236598;;253584;;269118;
Rennes;471003;35005;a;9531299;13718536;9252974;13410107;9439119;13679883
Rethel;172270;8300;b;325392;;337971;;355909;
Retournac;734749;43130;c;36053;;37764;;26053;
Revigny;175018;55800;c;94665;;99330;;100806;
Ris Orangis;681338;91130;b;1265676;;1495800;;1031400;
Rochefort;485144;17300;b;385994;;404067;;383433;
Roissy en Brie;116038;77680;b;3078000;;2835000;;2835000;
Rosporden;474155;29140;b;158936;;142454;;148250;
Rouffach;182337;68250;b;175546;;177523;;163009;
Rougemont Chanteloup;431791;93270;b;1506600;;1506600;;1420200;
Ruffey;713826;21200;c;14019;;17888;;21983;
Rully;712026;71150;c;22702;;24476;;22223;
Rumilly;746149;74150;b;548197;;544367;;547820;
Saint Marcel en Dombes;723742;1390;c;70112;;68550;;62291;
Saint-Agnan;694851;71160;c;664;;785;;665;
Saint-Amand de Vendôme;574640;41310;c;3987;;3244;;3579;
Saint-Amarin;182600;67550;c;56911;;61034;;56825;
Saint-Amour;718296;39160;c;36265;;37608;;37908;
Saint-Antoine de Breuilh;584201;24230;c;9160;;13200;;16610;
Saint-Brès Mudaison;773440;34670;;456;;456;;456;
Saint-Brice sur Vienne;592691;87200;c;101;;89;;514;
Saint-Chamas;753202;13250;c;44263;;48724;;51930;
Saint-Chéron;545509;91530;b;507600;;507600;;507600;
Saint-Cloud;382358;92210;b;8135676;;8553600;;8553600;
Saint-Cyprien en Dordogne;595777;24220;c;8093;;9150;;9365;
Saint-Cyr;393223;78210;b;4803748;;5016600;;5016600;
Saint-Dalmas de Tende;756866;6430;c;5375;;5561;;2657;
Saint-Denis des Murs;592097;87400;c;1627;;2587;;2299;
Saint-Dié des Vosges;144014;88100;b;371049;;392670;;410213;
Sainte-Foy la Grande;584193;33220;b;167228;;173585;;170539;
