Nom de la gare;Code UIC;Code postal;Segmentation;voyageurs 2016;volume total d'usagers 2016 (voyageurs+ non voyageurs);voyageurs 2015;volume total d'usagers 2015 (voyageurs+ non voyageurs);voyageurs 2014;volume total d'usagers 2014 (voyageurs+ non voyageurs)
Mareil Marly;382812;78750;c;64800;;91800;;91800;
Marne la Vallée Chessy;111849;77111;a;5607932;5664578;5999068;6059665;5110489;5162110
Marquillies;342469;59274;c;19311;;19582;;21096;
Marquise-Rinxent;317339;62250;b;152128;;170826;;177840;
Marsac (Creuse);597625;23210;c;4801;;4435;;3992;
Marsac (Dordogne);595207;24430;c;;;;;;
Marseille Saint-Charles;751008;13232;a;12206077;19089529;12351081;19298564;12379109;19342358
Martigné Ferchaud;471367;35640;c;10425;;18948;;18747;
Mehun sur Yèvre;576116;18500;c;49626;;61691;;59878;
Merxheim;182725;68500;c;46799;;48548;;46144;
Meudon;393108;92190;b;1193400;;1193400;;1193082;
Meuse TGV;147322;55220;a;178894;;169443;;169479;
Mezeriat;725838;1660;c;41079;;44014;;42913;
Moissac;611889;82200;c;78336;;76057;;74809;
Moneteau-Gurgy;683557;89470;c;15178;;16053;;17532;
Monnaie;574681;37380;c;28831;;28240;;27736;
Monnerville;545111;91930;c;21600;;21600;;21600;
Mont de Terre;287128;59000;c;2480;;2003;;2657;
Montataire;276618;60160;c;33337;;26424;;29889;
Montaudran;612010;31000;c;26659;;25744;;27724;
Montaut Bétharram;672113;64800;c;144;;283;;324;
Montbarrey;718866;39380;c;355;;405;;447;
Montbartier;611699;82700;c;51904;;50814;;44262;
Montbrison;726448;42600;b;130410;;155379;;173228;
Sevran-Beaudottes;271445;93270;b;7727400;;7727400;;7727400;
Sille le Guillaume;396234;72140;b;110580;;108983;;110363;
Sillery;171637;51500;c;833;;1470;;2082;
Sospel;756825;6380;c;33383;;34602;;22473;
Strasbourg Roethig;212191;67100;c;61600;;59450;;55297;
Suippes;174821;51600;c;3322;;1906;;5024;
Survilliers-Fosses;276261;95470;b;1992600;;1992600;;2046598;
Tanus;615674;;c;1147;;1099;;328;
Thenissey;713099;21150;c;6786;;7981;;8595;
Thenon;595579;24210;c;10350;;8365;;8106;
Thiaville;141432;54519;c;1718;;1461;;2994;
Thiel sur Acolin;696419;3230;c;887;;930;;1153;
Thiers;734475;63300;c;45675;;53985;;66090;
Thomery;682252;77300;b;102600;;102600;;102600;
Thun le Paradis;381822;78250;b;334800;;318600;;318600;
Tiercé;484147;49125;b;141369;;147993;;150475;
Tonneins;586651;47400;b;157831;;166522;;172730;
Tours;571000;37000;a;5156584;10295527;4664457;;4732297;
Traou Nez;322347;22860;c;209;;125;;105;
Trégonneau-Squiffiec;473819;22200;c;1152;;1904;;3266;
Trois Chênes;184242;90000;c;22746;;18349;;26896;
Uchaud;775106;30620;c;1885;;2285;;2048;
Us;381178;95450;b;135000;;102600;;102600;
Val de Reuil;415877;27100;b;479607;;485921;;547938;
Valdieu;181081;68210;;;;;;;
Valleiry;745414;74520;c;18428;;22494;;17133;
Valleroy Moineville;192732;54910;c;8419;;11664;;13543;
Vallon en Sully;641357;3190;c;28714;;34277;;31437;
Vandieres;192476;54121;c;6175;;7508;;9854;
Vaumoise;271601;60117;c;1024;;562;;769;
Veigné;571414;37250;c;20766;;22295;;23497;
Vendome;574558;41100;c;56107;;64242;;62389;
Vendôme Villiers sur Loir;571216;41100;a;422891;;448472;;397363;
Vénissieux;723320;69200;b;177116;;190066;;209770;
Vergèze Codognan;775114;30310;b;219959;;213715;;203402;
Vern;471029;35770;c;9237;;9758;;9646;
Verneuil l'Etang;116079;77390;b;567000;;567000;;448200;
Verneuil sur Avre;393595;27130;b;110734;;102618;;118668;
Vernon;415604;27200;b;1721615;;1733552;;1720641;
Verrey;713081;21540;c;25230;;27761;;31388;
Veuves Monteaux;574327;41150;c;7888;;8296;;7428;
Veynes Devoluy;763300;5400;c;56786;;58453;;66839;
Vic Mireval;773531;34110;c;17016;;15753;;13792;
Vidauban;755421;83550;c;2003;;2549;;2771;
Vierzon Ville;576009;18100;a;814009;;808857;;864558;
Vigneux sur Seine;681304;91270;b;5902200;;5902200;;5518800;
Vignols Saint Solve;594655;19130;c;70;;109;;103;
Villabé;681619;91100;b;210600;;210600;;205200;
Villefort;775197;48800;c;8373;;8253;;10282;
Villenave d'Ornon;581835;33140;c;7676;;9372;;13126;
Villeneuve la Guyard;683102;89340;b;129483;;146639;;161329;
Villeneuve le Roi;545277;94290;b;1490400;;1490400;;1490400;
Villeparisis-Mitry le Neuf;271510;77270;b;3531600;;3531600;;3531600;
Villepinte;271452;93420;b;1739285;;1787400;;1783542;
Villepreux les Clayes;393413;78340;b;2006885;;2025000;;2024785;
Villiers Neauphles Pontchartrain;393884;78640;b;712800;;712800;;712800;
Villiers sur Marne Le Plessis Trévise;113795;94350;b;7808400;;7543800;;7543800;
Vincelles;683631;89290;c;2293;;2718;;5343;
Virieu sur Bourbre;747204;38730;c;15322;;16508;;21775;
Virville Manneville;413336;76110;c;3420;;5561;;5121;
Vitry sur Seine;545293;94400;b;3996000;;3996000;;3996000;
Voellerdingen;215640;67430;;;;;;;
Vougeot Gilly les Citeaux;713511;21640;c;31615;;42538;;35455;
Voves;545707;28150;c;26310;;26405;;28089;
Wambaix;345595;59400;c;53;;;;;
Wambrechies;286229;59118;c;712;;1200;;2053;
Wattignies-Templemars;286526;59680;c;55874;;60986;;62554;
Wavrin;286419;59136;b;98804;;103685;;109793;
Weyersheim;213678;67720;b;152736;;158967;;149018;
Wittelsheim;182683;68310;;;;;;;
Yvetot;413385;76190;b;889832;;920428;;914606;
Loison sous Lens;345231;62218;c;11917;;15946;;18399;
Longages-Noé;611053;31410;c;97426;;100579;;104933;
Longueil-Sainte-Marie;276303;60126;c;47189;;44451;;40249;
Longuerue Vieux Manoir;411447;76750;c;11782;;14026;;14288;
Longueville sur Scie;415141;76590;c;20930;;21449;;23632;
Loreux;576157;41200;c;3736;;4499;;4215;
Loriol;761262;26270;c;47421;;55739;;51650;
Lozanne;721423;69380;b;297950;;310441;;291542;
Luc;734368;48250;c;39;;22;;140;
Lucy sur Cure Bessy;683672;89270;c;5;;120;;456;
Lumes;172189;8440;c;17987;;20408;;21607;
Luxe;583823;16230;c;22890;;23205;;21351;
Luzarches;276576;95270;b;216000;;216000;;216000;
Mâcon Loché TGV;725705;71000;a;407629;;447954;;420149;
Magalas;781666;34480;c;1966;;2133;;1612;
Maintenon;394130;28130;b;1169345;;1190019;;1191268;
Maisons Alfort Alfortville;681155;94700;b;12585802;;12765600;;9783264;
Maizières les Metz;191106;57210;b;234346;;246071;;229325;
Mandelieu la Napoule;757591;6210;b;92566;;99749;;102532;
Manosque-Gréoux les Bains;751321;4100;c;70383;;74459;;76000;
Mantes Station;381590;78200;b;843957;;831600;;831600;
Marans;485060;;c;1879;;1360;;1439;
